Instance ID,use_ml_guidance,use_location_first,use_ML_direct,use_ML_transhipment,ML_Optimization status,ML_Optimality Gap,ML_OFV - Total Costs,ML_Total Solving Time,Stage 1 Feasibility,Stage 2 Feasibility
8R-alpha=021_Flow_50perc_HubCosts_20perc,False,False,False,False,Optimal,5.62114422224808e-07,50230.51,4.090401887893677,Skipped,Feasible
8R-alpha=021_Flow_50perc_HubCosts_20perc,False,True,False,False,Optimal,5.705041901703884e-07,50230.51,7.0393030643463135,Feasible,Feasible
8R-alpha=021_Flow_50perc_HubCosts_20perc,True,False,False,True,Optimal,5.705041898806857e-07,50230.51,4.522624969482422,Skipped,Feasible
8R-alpha=021_Flow_50perc_HubCosts_20perc,True,False,True,False,Optimal,0.0,52810.48,119.03346705436708,Skipped,Feasible
8R-alpha=021_Flow_50perc_HubCosts_20perc,True,False,True,True,Optimal,0.0,52810.48,120.36268997192384,Skipped,Feasible
8R-alpha=021_Flow_50perc_HubCosts_20perc,True,True,False,True,Optimal,5.705041910394967e-07,50230.51,3.6161019802093506,Feasible-Not Solved,Feasible
8R-alpha=021_Flow_50perc_HubCosts_20perc,True,True,True,False,Time Limit,0.0488538133592674,52810.48,120.0439100265503,Feasible,Feasible
8R-alpha=021_Flow_50perc_HubCosts_20perc,True,True,True,True,Optimal,0.0,52810.48,105.3004069328308,Feasible-Not Solved,Feasible
8R-alpha=021_Flow_50perc_HubCosts_5perc,False,False,False,False,Optimal,5.62114422224808e-07,50230.51,4.030602931976318,Skipped,Feasible
8R-alpha=021_Flow_50perc_HubCosts_5perc,False,True,False,False,Optimal,5.705041901703884e-07,50230.51,6.847591161727905,Feasible,Feasible
8R-alpha=021_Flow_50perc_HubCosts_5perc,True,False,False,True,Optimal,0.0,53688.009999999995,81.19216203689575,Skipped,Feasible
8R-alpha=021_Flow_50perc_HubCosts_5perc,True,False,True,False,Optimal,0.0,50438.49999999999,23.63127112388611,Skipped,Feasible
8R-alpha=021_Flow_50perc_HubCosts_5perc,True,False,True,True,Time Limit,0.5100039546280685,78956.31,240.00611686706543,Skipped,Feasible
8R-alpha=021_Flow_50perc_HubCosts_5perc,True,True,False,True,Time Limit,0.4755605943598193,97881.74,120.03947687149048,Feasible,Feasible
8R-alpha=021_Flow_50perc_HubCosts_5perc,True,True,True,False,Optimal,0.0,51234.84999999999,61.793407917022705,Feasible,Feasible
8R-alpha=021_Flow_50perc_HubCosts_5perc,True,True,True,True,Time Limit,,,120.02578902244568,Feasible,Feasible
8R-alpha=021_Flow_60perc_HubCosts_20perc,False,False,False,False,Optimal,0.0,72583.52500000001,30.646226167678833,Skipped,Feasible
8R-alpha=021_Flow_60perc_HubCosts_20perc,False,True,False,False,Time Limit,0.0484803881818422,75591.13,120.09081482887268,Feasible,Feasible
8R-alpha=021_Flow_60perc_HubCosts_20perc,True,False,False,True,Optimal,0.0,72583.52500000001,62.95642709732056,Skipped,Feasible
8R-alpha=021_Flow_60perc_HubCosts_20perc,True,False,True,False,Time Limit,0.2007614680456222,89215.72,240.03089022636416,Skipped,Feasible
